ROW,Question_Text,Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,ANSWER,TOPIC,SOURCE,Category_Grouping,QIDs,GROUP CODE
1,Првата помош претставува пружање почетна грижа на повреденото лице на самото место на несреќата.,a) Точно,б) Неточно,,,,a) Точно,First Aid Basics,CKRM PDF,First Aid Basics,FAB01,FAB
2,Целта на првата помош е да со внимателно избрани мерки и постапки да се зачува животот на повредениот и да се спречат можните компликации.,a) Точно,б) Неточно,,,,a) Точно,First Aid Basics,CKRM PDF,First Aid Basics,FAB02,FAB
3,При укажување на прва помош кај повредени можат да се користат следниве средства:,a) Стандардни средства за укажување на прва помош,б) Прирачни средства за укажување на прва помош,в) и со двете наброени,,,в) и со двете наброени,First Aid Equipment,CKRM PDF,First Aid Basics,FAB03,FAB
4,Местото на сообраќајната несреќа треба да се обезбеди на следниов начин:,a) со поставување на сигурносен триаголник,б) со светлосна сигнализација,в) и со двете наброени,,,в) и со двете наброени,Accident Scene Safety,CKRM PDF,Scene & Accident Management,S&A01,S&A
5,Доколку наидете на сообраќајна несреќа потребно е да го направите следново:,а) да го исклучите моторот на оштетеното возило,б) да го закочите моторното возило со помош на рачна сопирачка и/или тврди предмети под тркалата,в) и двете наброени,,,в) и двете наброени,Accident Response,CKRM PDF,Scene & Accident Management,S&A02,S&A
6,За Ваша лична безбедност при потреба од укажување на прва помош потребно е да употребувате:,а) заштитни ракавици,б) џебни маски со филтер,в) и двете наброени,,,в) и двете наброени,Personal Safety,CKRM PDF,First Aid Basics,FAB04,FAB
7,Проверката на свеста на повредениот ја правите на тој начин што пристапувате кон повредениот и:,а) внимателно го протресувате за рамената и го прашувате дали е добро,"б) го штипете, боцкате повредениот за да ви одговори",в) ниедно од горе наведеното,,,а) внимателно го протресувате за рамената и го прашувате дали е добро,Emergency Call,CKRM PDF,Assessment & Prioritization,A&P01,A&P
8,"При повикување на Итна медицинска помош потребно е да се претставите, да го кажете своето име, што се случило, каде се наоѓате, колку лица се повредени и каква е состојбата на повредените.",а) Точно,б) Неточно,,,,а) Точно,Emergency Call,CKRM PDF,First Aid Basics,FAB05,FAB
9,Како ќе ги препознаете повредените кои се во животна опасност:,а) лежат мирно и не бараат помош,б) гласни се и викаат барајќи помош,в) ниедно од горе наведеното,,,а) лежат мирно и не бараат помош,Injury Severity,CKRM PDF,Assessment & Prioritization,A&P02,A&P
10,Доколку повредениот не е во свесна состојба постои опасност од:,"а) запаѓање на јазикот наназад, затварање на дишниот пат и задушување",б) престанок на срцевата работа,в) ниедно од горе наведеното,,,"а) запаѓање на јазикот наназад, затварање на дишниот пат и задушување",Airway Danger,CKRM PDF,"Airway, Breathing, & Circulation",AB&01,AB&
11,Проверката на дишењето се изведува по методот:,"а) Гледај, слушај, чувствувај",б) Со огледало и проверка дали дише ако истото се замагли,в) ниедно од горе наведеното,,,"а) Гледај, слушај, чувствувај",Breathing Check,CKRM PDF,"Airway, Breathing, & Circulation",AB&02,AB&
12,"При повреда на крвни садови, крварењето може да биде:",а) Надворешно,б) Внатрешно,в) Двете горе наведени,,,в) Двете горе наведени,Bleeding Type,CKRM PDF,Bleeding & Shock,B&S01,B&S
13,Доколку наидете на повреден без свест што е прво е потребно да направите:,а) Повикате Итна медицинска помош,б) Веднаш да му укажете прва помош,в) Ниедно од двете наброени,,,б) Веднаш да му укажете прва помош,First Action,CKRM PDF,First Aid Basics,FAB06,FAB
14,При срцево белодробното оживување правилниот сооднос на срцеви компресии и вештачко дишење е:,а) 30:2,б) 15:2,в) 15:5,,,а) 30:2,CPR Ratio,CKRM PDF,CPR & Resuscitation,C&R01,C&R
15,При срцева масажа правилно е рацете да се постават врз:,a) горната третина на градната коска,b) во средината на градниот кош,c) долната третина на градната коска,,,b) во средината на градниот кош,CPR Hand Placement,CKRM PDF,CPR & Resuscitation,C&R02,C&R
16,При срцево белодробното оживување кај деца од 1-8 години правилниот сооднос на срцеви компресии и вештачко дишење е:,а) 15:2,б) 30:2,в) 15:1,,,б) 30:2,Pediatric CPR,CKRM PDF,CPR & Resuscitation,C&R03,C&R
17,При срцево белодробното оживување кај доенче (од 0-12 месеци) најнапред се започнува со:,а) 5 иницијални вештачки дишења,б) 2 иницијални вештачки дишења,в) 1 иницијално вештачко дишење,,,а) 5 иницијални вештачки дишења,Infant CPR,CKRM PDF,CPR & Resuscitation,C&R04,C&R
18,При срцево белодробното оживување кај бебиња срцевите компресии се изведуваат на следниов начин:,а) Со двете раце поставени на долната половина на градната коска,б) Со едната дланка поставена на долната половина на градната коска,в) Со јагодиците на средниот прст и показалецот еден попречен прст од замислената линија која ги сврзува двете брадавици,,,в) Со јагодиците на средниот прст и показалецот еден попречен прст од замислената линија која ги сврзува двете брадавици,Infant CPR,CKRM PDF,CPR & Resuscitation,C&R05,C&R
19,При артериско крварење крвта која истекува е светла во вид на пулсирачки млаз.,а) Точно,б) Неточно,,,,а) Точно,Bleeding Type,CKRM PDF,Bleeding & Shock,B&S02,B&S
20,Обилното крварење може да доведе до појава на хеморагичен шок.,а) Точно,б) Неточно,,,,а) Точно,Bleeding Complication,CKRM PDF,Bleeding & Shock,B&S03,B&S
21,Заради лична безбедност при изведување на вештачко дишење потребно е да се употребуваат џебни маски со филтер.,а) точно,б) не е точно,,,,а) точно,Personal Safety,CKRM PDF,First Aid Basics,FAB07,FAB
22,"Опасност кај повредениот без свест е јазикот да западне наназад, да го затвори дишниот пат и да настане задушување.",а) точно,б) не е точно,,,,а) точно,Airway Obstruction,CKRM PDF,"Airway, Breathing, & Circulation",AB&03,AB&
23,"Пред да започнете со укажување на помош, потребно е да добиете согласност од повредениот.",а) точно,б) не е точно,,,,а) точно,Consent,CKRM PDF,Scene & Accident Management,S&A03,S&A
24,Телефонскиот број на службата за Итна медицинска помош е 194,а) точно,б) неточно,,,,а) точно,Emergency Call,CKRM PDF,First Aid Basics,FAB08,FAB
25,"При скршеница на подколеницата, имобилизацијата треба да ги опфати:",а) Рамениот и лактниот зглоб,б) Колкот и колениот зглоб,в) Лактниот и рачниот зглоб,г) Колениот и скочниот зглоб,,г) Колениот и скочниот зглоб,Immobilization,CKRM PDF,Immobilization & Splinting,I&S01,I&S
26,"Доколку повредата не дозволува соблекување на облеката, таа треба да се отстрани со сечење и распарување по рабовите.",а) точно,б) неточно,,,,а) точно,Clothing Removal,CKRM PDF,First Aid Basics,FAB09,FAB
27,Доколку во несреќата има повеќе повредени потребно е да се направи тријажа (избор на повредени со приоритетни повреди за укажување на прва помош).,а) точно,б) неточно,,,,а) точно,Triage,CKRM PDF,Assessment & Prioritization,A&P03,A&P
28,Доколку наидете на повредено лице со кацига кое е во бесвесна состојба што е потребно прво да направите?,а) да ја отстраните кацигата и да пружите СБО,б) да не ја отстранувате кацигата,,,,а) да ја отстраните кацигата и да пружите СБО,Helmet Removal,CKRM PDF,Scene & Accident Management,S&A04,S&A
29,Доколку повредениот е во свесна состојба тој одговара на поставените прашања и реагира на болните дразби.,а) точно,б) не е точно,,,,а) точно,Consciousness,CKRM PDF,Assessment & Prioritization,A&P04,A&P
30,Проценувањето на дишењето не смее да трае подолго од 10 сек.,а) точно,б) не е точно,,,,а) точно,Breathing Check,CKRM PDF,"Airway, Breathing, & Circulation",AB&04,AB&
31,Отсуство на нормално дишење кај повредениот е знак на постоење на застој на срцевата работа.,а) точно,б) не е точно,,,,а) точно,Cardiac Arrest,CKRM PDF,"Airway, Breathing, & Circulation",AB&05,AB&
32,При повредата крварењето кое настанува кај повредениот е секогаш видливо.,а) точно,б) не е точно,,,,б) не е точно,Bleeding Visibility,CKRM PDF,Bleeding & Shock,B&S04,B&S
33,"Доколку повредениот не е свесен, настанатите повреди на повреденото лице се проценуваат со преглед од:",а) глава кон нозе,б) нозе кон глава,в) не се прави детален преглед,,,а) глава кон нозе,Injury Assessment,CKRM PDF,Assessment & Prioritization,A&P05,A&P
34,Кај повреден кој не е во свесна состојба и не диши нормално потребно е:,"а) најнапред да му се даде срцева масажа, па потоа вештачко дишење","б) вештачко дишење, а потоа срцева масажа",в) само вештачко дишење,,,"а) најнапред да му се даде срцева масажа, па потоа вештачко дишење",CPR Sequence,CKRM PDF,CPR & Resuscitation,C&R06,C&R
35,"Ако повредениот почне да диши, а е без свест треба да се постави во странична положба.",а) точно,б) не е точно,,,,а) точно,Recovery Position,CKRM PDF,"Airway, Breathing, & Circulation",AB&06,AB&
36,Надворешна масажа на срцето и вештачко дишење се дава се додека:,а) не дојде медицински тим од Итната медицинска помош,б) додека повредениот започне да дише нормално,в) и двете наведени,,,в) и двете наведени,CPR Duration,CKRM PDF,CPR & Resuscitation,C&R07,C&R
37,Надворешното притискање на срцето кај децата се изведува со:,а) коренот на едната дланка во средината на долната половина на градната коска,б) со двете дланки во средината на долната површина на градната коска,в) со двата прсти во средината на долната површина на градната коска,,,а) коренот на едната дланка во средината на долната половина на градната коска,Pediatric CPR,CKRM PDF,CPR & Resuscitation,C&R08,C&R
38,Доколку настане задушување предизвикано од страно тело потребно е:,а) лицето 5 пати да се удира по грбот помеѓу лопатката со долниот дел на дланката,б) да се применат 5 притискања на стомакот,"в) да се започне со удар по грбот, а потоа со 5 притискања на стомакот",,,"в) да се започне со удар по грбот, а потоа со 5 притискања на стомакот",Choking,CKRM PDF,"Airway, Breathing, & Circulation",AB&07,AB&
39,При задушување кај бебиња постапката за прва помош започнува со 5 удари по грбот на тој начин што истото е наведнато со лицето надоле.,а) точно,б) не е точно,,,,а) точно,Infant Choking,CKRM PDF,"Airway, Breathing, & Circulation",AB&08,AB&
40,"При венско крварење крвта е со темно-црвена боја, додека истекувањето е во вид на постојано лиење.",а) точно,б) не е точно,,,,а) точно,Bleeding Type,CKRM PDF,Bleeding & Shock,B&S05,B&S
41,"При капиларно крварење крвта е со светло-црвена боја, а истекувањето е во вид на ороcување.",а) точно,б) не е точно,,,,а) точно,Bleeding Type,CKRM PDF,Bleeding & Shock,B&S06,B&S
42,Надворешното артериско крварење во зависност од неговиот интензитет се контролира со:,а) притискање,б) со компресивен завој,в) и со двете постапки,,,в) и со двете постапки,Arterial Bleeding,CKRM PDF,Bleeding & Shock,B&S07,B&S
43,Сопирањето на крварењето со компресивен завој се поставува тогаш кога раната крвари иако е покриена со нормална преврска.,а) точно,б) не е точно,,,,а) точно,Compression Bandage,CKRM PDF,Bleeding & Shock,B&S08,B&S
44,Доколку наидете на повреден кој има страно тело во рана потребно е истото да го:,а) отстраните и да направите преврска,"б) да не го отстранувате, но да направите преврска со ѓеврече",в) ниедно од горе наведените,,,"б) да не го отстранувате, но да направите преврска со ѓеврече",Foreign Object,CKRM PDF,Wound Care & Burns,WC&01,WC&
45,Доколку наидете на повреден кај кого се сомневате на повреда на ‘рбетниот столб потребно е:,а) да не го поместувате повредениот од местото и да му дадете психолошка поддршка,б) веднаш да го транспортирате повредениот до најблиската здравствена установа,в) да го свртите во странична положба,,,а) да не го поместувате повредениот од местото и да му дадете психолошка поддршка,Spinal Injury,CKRM PDF,"Spinal, Crush & Fracture Injuries",SC&01,SC&
46,Основна постапка при повреда која има скршеница е имобилизација (поставување на скршениот дел во положба на мирување).,а) точно,б) не е точно,,,,а) точно,Fracture Immobilization,CKRM PDF,Immobilization & Splinting,I&S02,I&S
47,Имобилизацијата (поставување на скршениот дел во положба на мирување) во случај на скршеници може да се изведе со:,a) Стандардни средства за укажување на прва помош,б) Прирачни средства за укажување на прва помош,в) и двете,,,в) и двете,Fracture Immobilization,CKRM PDF,Immobilization & Splinting,I&S03,I&S
48,При преврска на рана не смее:,a) Да се допира и чисти раната,б) Да се постави повредениот со подигнат екстремитет на кој се наоѓа раната,в) Да се затопли повредениот,,,a) Да се допира и чисти раната,Wound Dressing,CKRM PDF,Wound Care & Burns,WC&02,WC&
49,Која е првата постапка која треба да ја направите во случај на изгореница?,а) да се излади изгореното место,б) да се нанесе маст на изгореното место,в) да се нанесе масло на изгореното место,,,а) да се излади изгореното место,Burns,CKRM PDF,Wound Care & Burns,WC&03,WC&
50,Доколку наидете на лице кое има пригмечени нозе и ако предметот кој довел до нивно нагмечување е врз нозете подолго од 15 минути тогаш предметот:,а) треба да се отстрани веднаш од повредениот,б) не се отстранува од повредениот,в) се отстранува после еден час,,,б) не се отстранува од повредениот,Crush Injury,CKRM PDF,"Spinal, Crush & Fracture Injuries",SC&02,SC&
51,Што не треба да содржи кутијата за прва помош која треба да ја има секој возач во своето возило?,а) Триаглеста марама,б) Завоји и фластери,в) 70 % алкохол за дезинфекција,,,в) 70 % алкохол за дезинфекција,First Aid Kit,CKRM PDF,First Aid Basics,FAB10,FAB
52,Што Ве заштитува од инфекција при давање на вештачко дишење (срцево-белодробно оживување)?,а) стерилна газа,б) вентилационо марамче,в) двострана метализирана фолија,,,б) вентилационо марамче,Infection Prevention,CKRM PDF,First Aid Basics,FAB11,FAB
53,Што претставува местото на сообраќајна незгода?,а) местото претставува опасна зона за повредените во сообраќајната незгода,б) местото претставува опасна зона за сите учесници во сообраќајот,в) местото не претставува опасна зона доколку не се работи за потешка сообраќајна незгода со повеќе повредени лица,,,б) местото претставува опасна зона за сите учесници во сообраќајот,Accident Site,CKRM PDF,Scene & Accident Management,S&A05,S&A
54,Времето за кое треба да се востанови дека има престанок на дишењето е:,"а) во рок од 3 мин, не подолго од 5 мин",б) во рок од 30 секунди,"в) за 10 секунди користејќи го методот слушај, гледај, чуствувај",,,"в) за 10 секунди користејќи го методот слушај, гледај, чуствувај",Breathing Check,CKRM PDF,"Airway, Breathing, & Circulation",AB&09,AB&
55,Што не е точно за поставувањето на повредениот во странична положба (положба на опоравување)?,"а) ја подобрува циркулацијата за виталните органи (мозокот, срцето и белите дробови)","б) ја одржува проодноста на дишните патишта, да не западне јазикот наназад и да го затвори дишниот пат",в) овозможува дренирање /истекување на течностите од устата,,,"а) ја подобрува циркулацијата за виталните органи (мозокот, срцето и белите дробови)",Recovery Position,CKRM PDF,"Airway, Breathing, & Circulation",AB&10,AB&
56,Како правилно ќе постапите со рана која крвари?,а) Воошто да не се допира раната,б) Да се стават ракавици и стерилна газа на раната,в) Да се стават ракавици и да се отстранат сите туѓи тела од раната (на пример: парчиња стакло),,,б) Да се стават ракавици и стерилна газа на раната,Wound Dressing,CKRM PDF,Wound Care & Burns,WC&04,WC&
57,Заштитната кацига (шлем) на лице повредено во сообраќајна незгода не треба да се отстранува освен кога:,а) повреденото лице има отворена скршеница а подлактицата,б) повреденото лице не дише и треба да се применат мерки на оживување,в) повреденото лице има посекотина на натколеницата,,,б) повреденото лице не дише и треба да се применат мерки на оживување,Helmet Removal,CKRM PDF,Scene & Accident Management,S&A06,S&A
58,Што не претставува знак на обилно крварење (хеморагичен шок)?,а) зацрвенета кожа,б) бледа и студена кожа,в) забрзана работа на срцето и забрзано дишење,,,а) зацрвенета кожа,Hemorrhagic Shock,CKRM PDF,Bleeding & Shock,B&S09,B&S
59,Доколку повредениот има скршеница на надколеницата и воедно обилно крварење потребно е да:,"а) прво се имобилизира, а потоа да се сопре крварењето","б) прво да се запре крварењето, а после да се направи имобилизација",в) ниедно од горе наведените,,,"б) прво да се запре крварењето, а после да се направи имобилизација",Fracture & Bleeding,CKRM PDF,Bleeding & Shock,B&S10,B&S
60,Доколку имобилизирате скршеница на подлактица не смеете да:,а) ја фатите раката за рачниот зглоб и лактот,б) да користите триаголна марама за привремена имобилизација,в) да ја поставите крамерова шина (средството за имобилизација) само околу местото на скршеницата,,,в) да ја поставите крамерова шина (средството за имобилизација) само околу местото на скршеницата,Fracture Immobilization,CKRM PDF,Immobilization & Splinting,I&S04,I&S
61,Кога ќе се посомневате на повреда на рбетниот столб кај лице кое е повредено во сообраќајна незгода?,а) ако има силна главоболка,б) ако има посекотини и крварење од грбот,"в) ако се жали на трнење, неосетливост или неможност за движење на екстремитетите",,,"в) ако се жали на трнење, неосетливост или неможност за движење на екстремитетите",Spinal Injury,CKRM PDF,"Spinal, Crush & Fracture Injuries",SC&03,SC&
62,Која постапка не се применува при извлекување на повреден од моторно возило?,а) изгасување на моторот на возилото,б) откопчување на сигурносниот појас,в) свиткување кон напред за да може полесно да се извади од возилото,,,в) свиткување кон напред за да може полесно да се извади од возилото,Vehicle Extraction,CKRM PDF,Scene & Accident Management,S&A07,S&A
63,"Доколку човек е во бесознание, но спонтано дише и има пулс се поставува во:",а) Положба на стомак,б) Позиција на грб на тврда подлога,в) Странична положба (кома/положба на опоравување),,,в) Странична положба (кома/положба на опоравување),Recovery Position,CKRM PDF,"Airway, Breathing, & Circulation",AB&11,AB&
64,Како изгледа повреден кој загубил многу крв и е во шокова состојба?,а) Топла и зацрвенета кожа,"б) Бледо, со студена кожа оросена со ладна пот и со забрзана срцева работа (забрзан пулс)","в) Нормално, доколку крварењето е внатрешно (невидливо)",,,"б) Бледо, со студена кожа оросена со ладна пот и со забрзана срцева работа (забрзан пулс)",Shock,CKRM PDF,Bleeding & Shock,B&S11,B&S
65,Што не треба да направите кај повреден во сообраќајна незгода кој е во шокова состојба?,а) да го затоплите,б) да му дадете течност и храна,в) да му се обезбеди смирена околина,,,б) да му дадете течност и храна,Shock,CKRM PDF,Bleeding & Shock,B&S12,B&S
66,Кои од наведените принципи се основни принципи за имобилизација?,а) Да се имобилизираат два соседни зглоба,б) Да се извадат облеката и обувките,в) Да се направи репозиција (да се вратат изместените делови во првобитната положба),,,а) Да се имобилизираат два соседни зглоба,Immobilization Principles,CKRM PDF,Immobilization & Splinting,I&S05,I&S
67,При сомнение за скршеница на вратниот дел од рбетниот столб кај лице повредено во сообраќајна незгода треба да го направите следново,а) Брзо да го извадите од возилото и да го транспортирате,б) Внимателно да го имобилизирате во самото возило и да ја почекате итната медицинска помош,в) Да го извадите од возилото со главата свиткана нанапред,,,б) Внимателно да го имобилизирате во самото возило и да ја почекате итната медицинска помош,Cervical Spine Fracture,CKRM PDF,"Spinal, Crush & Fracture Injuries",SC&04,SC&
68,Дигитална компресија при крварење од подколеницата се прави на артеријата лоцирана во:,а) Подколенската регија,б) Вратна регија,в) Препонска регија,,,а) Подколенската регија,Digital Compression,CKRM PDF,Bleeding & Shock,B&S13,B&S
69,"Доколку повредениот има отворена скршеница на подколеницата и обилно крварење, потребно е:","а) Прво се имобилизира, па се сопре крварењето","б) Прво се запре крварењето, па се направи имобилизација",в) Ниедно од горе наведените,,,"б) Прво се запре крварењето, па се направи имобилизација",Open Fracture & Bleeding,CKRM PDF,Bleeding & Shock,B&S14,B&S
70,При шинување на скочниот зглоб потребно е да се:,а) Преврзе со завој и да се затопли местото на повреда,"б) Да се подигне стопалото, да се постават студени облоги",в) Само да се имобилизира со здравата нога,,,"б) Да се подигне стопалото, да се постават студени облоги",Ankle Splinting,CKRM PDF,Immobilization & Splinting,I&S06,I&S
71,"Доколку повредениот има скршеница на надколеницата и обилно крварење, потребно е:","а) Прво се имобилизира, па се сопре крварењето","б) Прво се запре крварењето, па се направи имобилизација",в) Ниедно од горе наведените,,,"б) Прво се запре крварењето, па се направи имобилизација",Femur Fracture & Bleeding,CKRM PDF,Bleeding & Shock,B&S15,B&S
72,Кој е најсоодветен начин на вештачко дишење за возрасен?,а) Уста на уста,б) Со дишен оживувач,в) Уста на уста и нос,,,а) Уста на уста,Artificial Respiration,CKRM PDF,CPR & Resuscitation,C&R09,C&R
73,Што не смеете да направите со раната?,"а) Да ја чистите, дезинфицирате и премачкате со маст",б) Да ја прекриете со стерилна газа,в) Да ја прекриете со стерилна газа и да ја прицврстите со завој,,,"а) Да ја чистите, дезинфицирате и премачкате со маст",Wound Care,CKRM PDF,Wound Care & Burns,WC&05,WC&
74,На кој телефонски број се јавувате доколку забележите повредени лица во сообраќајна незгода?,а) 192,б) 193,в) 194,,,в) 194,Emergency Number,CKRM PDF,First Aid Basics,FAB12,FAB
75,Што не треба да содржи кутијата за прва помош која треба да ја има секој возач?,а) Триаглеста марама,б) Завој,в) Спреј за дезинфекција,,,в) Спреј за дезинфекција,First Aid Kit,CKRM PDF,First Aid Basics,FAB13,FAB
76,Што претставуваат прирачните средства за укажување на прва помош?,а) Средства кои ги користат стручните лица за да укажат прва помош,б) Средства од непосредната околина кои возачот може да ги употреби за давање на прва помош,в) Средства од кутијата за прва помош,,,б) Средства од непосредната околина кои возачот може да ги употреби за давање на прва помош,First Aid Tools,CKRM PDF,First Aid Basics,FAB14,FAB
77,Дали неукажувањето на прва помош е казниво со закон?,"а) Не, бидејќи тоа е работа на итната медицинска помош и полицијата","б) Да, секој возач е должен да помогне","в) Не, никој не е должен да застанува",,,"б) Да, секој возач е должен да помогне",Legal Obligation,CKRM PDF,Scene & Accident Management,S&A08,S&A
78,Кога возачот прави срцево-белодробно оживување треба да внимава на:,а) Само фреквенцијата на компресијата,б) Да се скршат ребрата за поефикасна масажа,"в) Местоположбата на рацете, компресијата да е ефикасна и односот 30:2",,,"в) Местоположбата на рацете, компресијата да е ефикасна и односот 30:2",CPR Guidelines,CKRM PDF,CPR & Resuscitation,C&R10,C&R
79,При артериско крварење крвта е:,а) Светло црвена и истекува во вид на млазови,б) Темно црвена и истекува бавно,в) Светло црвена и истекува како капки,,,а) Светло црвена и истекува во вид на млазови,Arterial Bleeding,CKRM PDF,Bleeding & Shock,B&S16,B&S
80,Како ќе констатирате дали некој е во бесознание?,"а) Не одговара на прашања, не реагира на допир",б) Не треба да констатираме,в) Не може да го констатираме без медицинско лице,,,"а) Не одговара на прашања, не реагира на допир",Consciousness Check,CKRM PDF,Assessment & Prioritization,A&P06,A&P
81,Што правите ако има навлезено туѓо тело (забодено стакло) во раката?,а) Да се извади и да се направи компресивна преврска,б) Да се фиксира туѓото тело со завојно геврече или газа,в) Брзо да се извади,,,б) Да се фиксира туѓото тело со завојно геврече или газа,Foreign Object in Wound,CKRM PDF,Wound Care & Burns,WC&06,WC&
82,Доколку има ампутиран дел од екстремитет,"а) Запирање на крварењето, откинатиот дел во стерилна газа и пластична ќеса со студена вода",б) Запирање на крварење со фластер и триаголна марама,в) Запирање на крварење без да се допира откинатиот дел,,,"а) Запирање на крварењето, откинатиот дел во стерилна газа и пластична ќеса со студена вода",Amputation Care,CKRM PDF,"Spinal, Crush & Fracture Injuries",SC&05,SC&
83,Дишните патишта на настрадан кој е во бесознание може да се стеснат,а) Спуштање на брадата нанапред,б) Свртување настраданиот на страна,в) Подигнување на брадата и зафрлување наназад,г) Перниче под глава,,в) Подигнување на брадата и зафрлување наназад,Airway Management,CKRM PDF,"Airway, Breathing, & Circulation",AB&12,AB&
84,Кој се знаци за препознавање на внатрешно крварење?,а) Бледа ладна кожа,б) Вознемиреност и неодредена болка,в) Загуба на свест,г) Сите горе наведени,,г) Сите горе наведени,Internal Bleeding,CKRM PDF,Bleeding & Shock,B&S17,B&S
85,Сопирање на крварење со повеска кај откинат екстремитет,а) Повеската може да остане додека не дојде ИМП,б) Не подолго од 120 минути,в) Додека повредениот не стигне во болница,г) Додека екстремитетот не промени боја,,г) Додека екстремитетот не промени боја,Tourniquet Use,CKRM PDF,"Spinal, Crush & Fracture Injuries",SC&06,SC&
86,При крварење од нос,"а) Главата надолу, повредениот седнат",б) Главата назад,в) Лежи на грб,г) Стави мраз на носот,,"а) Главата надолу, повредениот седнат",Nosebleed,CKRM PDF,"Airway, Breathing, & Circulation",AB&13,AB&
87,Колку видови на крварење постојат?,а) Тешко,б) Лесно,в) Незначително,"г) Артериско, венско и капиларно",,"г) Артериско, венско и капиларно",Types of Bleeding,CKRM PDF,Bleeding & Shock,B&S18,B&S
88,При задушување со странско тело,а) Да го удирате по главата,б) Да го удирате по стомакот,"в) Да го удирате по грбот (помеѓу лопатките, до 5 пати)",г) Да се остави,,"в) Да го удирате по грбот (помеѓу лопатките, до 5 пати)",Choking Relief,CKRM PDF,"Airway, Breathing, & Circulation",AB&14,AB&
89,Ако гушењето продолжи,а) Да се откажете,б) Ставите раце на стомакот од позади и притискате нагоре 5 пати,в) Отидете да барате помош,г) Почнете да паничите,д. Ниедно од горе наведените;,б) Ставите раце на стомакот од позади и притискате нагоре 5 пати,Choking Intervention,CKRM PDF,"Airway, Breathing, & Circulation",AB&15,AB&
90,Проценка на знаци за живот опфаќа,а) Проценка на свест,б) Проценка на дишење и срцева акција,в) Проценка на видот на повреда,г) Сите горе наведени,,г) Сите горе наведени,Vital Signs Assessment,CKRM PDF,Assessment & Prioritization,A&P07,A&P
91,Општи најважни постапки при сообраќајна незгода,а) Обезбедување простор околу повредениот,б) Лична безбедност,в) Пристап и преглед на повредениот,г) Сите горе наведени,,г) Сите горе наведени,Accident Scene Management,CKRM PDF,Scene & Accident Management,S&A09,S&A
92,Начини за гасење на запалена облека,а) Сува техника со тркалање на повредениот,"б) Спречување на бегство, присилно легнување",в) Водена техника со вода или апарат,г) Сите горе наведени,,г) Сите горе наведени,Fire on Clothing,CKRM PDF,Wound Care & Burns,WC&07,WC&
93,Меѓу најитни медицински состојби спаѓаат срцев и мозочен удар,а) Најитно да се повика Итна медицинска помош,б) Да следите витални функции,в) Да се постави лицето во најудобна положба,г) Сите горе наведени,,г) Сите горе наведени,Heart & Stroke,CKRM PDF,First Aid Basics,FAB15,FAB
94,Скршеницата на клучната коска се имобилизира со,а) Поставување на гипс лонгета,б) Не се имобилизира,в) Две триаголни марами во вид на деветка,г) Две триаголни марами во вид на осмица,,г) Две триаголни марами во вид на осмица,Clavicle Fracture,CKRM PDF,Immobilization & Splinting,I&S07,I&S
95,Надколеничната коска при скршеница се поставува,а) Имобилизација во вид на осмица,"б) Имобилизација која ги опфаќа колкот, колениот и скочниот зглоб",в) Шанцов околувратник,"г) Имобилизација која ги опфаќа рамениот, лактниот и рачниот зглоб",,"б) Имобилизација која ги опфаќа колкот, колениот и скочниот зглоб",Femur Fracture,CKRM PDF,Immobilization & Splinting,I&S08,I&S
,,,,,,,,,,Immobilization & Splinting,I&S09,I&S
